cb	mojikyo	entity	uni_flag	unicode	nor_unicode	des	nor	cx
14228						[馲-七+(尤-尢+七)]		
14229						[(烈-列+(天*天))/日]		
14230						[瞄-田+((└@乂)/儿)]		
14231			0	224F5		[彳*秀]		
14232						[尒/口]		
14233			0	270C6		[卄/錄]		
14234			1	7C82		[久/米]		
14235						[土*寺]		
14236			1	57B3		[土*行]		
14237						[土*送]		
14238						[糸*知]		
14239			1	8AF9		[言*昜]		
14240			0	28C30		[金*寶]		
14241						[雨/買]		
14242			0	22FDB		[區*ㄆ]		
14243						[廚-寸]		
14244						[彳*首]		
14245						[〦/失/衣]		
14246			1	6360		[打-丁+兵]		
14247			0	22BE4		[打-丁+昂]		
14248						[攸-ㄆ+葉]		
14249						[怡-台+闓]		
14250						[竺-二+惠]		
14251						[邱-丘+公]		
14252			0		28E98	[阿-可+延]		
14253						[啜-口+目]		
14254			1	8FE7		[這-言+申]		
14255						[颱-台+安]		
14256						[颱-台+簫]		
14257						[褒-保+央]		
14258			1	715B		[瞿-隹+火]		
14259						[蹟-止+十]		
14260			0	275F9		[彳*音*亍]		
14261						[旒-方+每]		
14262						[瓙-壽+俞]		
14263						[山/(白*ㄆ)]		
14264						[予*(一/者)]		
14265						[乞-乙+(口/衣)]		
14266						[方*(葛-人+乂)]		
14267						[虎-儿+(弓/一)]		
14268						[袖-由+(邱-丘)]		
14269						[噬-巫+(犮-乂+又)]	笑	
14270						[序-予+(並-(前-刖)+吉)]		
14271						[債-貝+(同-(一/口)+十)]		
14272						[竅-(白/方)+(十/田/ㄆ)]		
14273						[卄/爛]		
14274			1	55BC		[口*急]		
14275			0	20E37		[口*浮]		
14276						[口*舞]		
14277			0	21092		[口*質]		
14278						[口*藺]		
14279			0	21308		[土*那]		
14280			0	223DC		[弓*多]		
14281						[日*栗]		
14282						[日*坒]		
14283			0	24304		[火*者]	煮	
14284						[白/土]		
14285			0		2567E	[示*秀]		
14286						[如/力]		
14287						[牟*乞]		
14288			1	7E9E		[糸*戀]		
14289						[羊*合]		
14290						[自*左]		
14291			1		8755	[虫*食]	蝕	
14292						[虫*薄]		
14293						[矣*舍]		
14294			0	279D4		[言*舟]		
14295			0	27A15		[言*免]		
14296						[谷/又]		
14297						[居*捨]		
14298						[居*僉]		
14299			1	9220		[金*殳]		
14300			0	49B5		[門@爾]		
14301			0	29A38		[骨*出]		
14302			0	29A63		[骨*育]		
14303						[啗*鳥]		
14304						[鼓/車]		
14305						[彳*去]		
14306			0	38EA		[彳*爰]		
14307			0	3A02		[打-丁+東]		
14308						[打-丁+附]		
14309			1	6471		[打-丁+曼]		
14310						[打-丁+燕]		
14311						[打-丁+築]		
14312						[怡-台+加]		
14313						[怡-台+第]		
14314			0		4555	[泳-永+蔓]		
14315						[泳-永+篾]		
14316						[哎-乂+任]		
14317						[荒-芒+山]		
14318						[匙-匕+乞]		
14319						[詁-十+宓]		
14320			0	2803B		[跳-兆+戎]		
14321						[跳-兆+奓]		
14322			0		4D39	[麩-夫+果]		
14323			0		2A352	[麩-夫+胡]		
14324						[孃-〦+凵]		
14325						[欐-鹿+木]		
14326			0	22797		[惃-日+囟]		
14327						[媕-廾+南]		
14328						[婻-十+今]		
14329						[婻-十+合]		
14330						[(身*里)/魚]		
14331						[土*(丰/皿)]		
14332						[金*(穴/大)]		
14333						[(廿/中/工)*寸]		
14334						[自*(尤-尢+曳)]		
14335			1		585A	[塚-豖+豕]		
14336						[垔*(企-止+ㄎ)]	虧	
14337			0	254D7		[磣-(珍-王)+二]		
14338						[仁-二+(病-丙+猒)]		
14339						[女*(鬲-(一/口)+吞)]		
14340						[金*(穴/(友-又+乂))]		
14341						[頠-厄+((囗@乂)/心)]		
14342						[痾-可+(企-止+(套-大))]		
14343			1	5054		[仁-二+咢]		
14344			0	4501		[卄/栗]		
14345						[ㄙ/凡]		
14346			0	357D		[口*以]		
14347			0	20CC0		[口*甬]		
14348						[土*尾]		
14349			0	2141B		[土*斬]	塹	
14350						[大/兇]		
14351			1	5A2A		[女*吾]		
14352						[尸@十]		
14353						[山/且]		
14354						[才/戈]		
14355			0	3FFD		[兮/皿]		
14356						[升/口]		
14357						[友*貢]		
14358			1	6BDF		[少/毛]		
14359						[日*民]		
14360						[日*豆]		
14361			0	232EA		[日*賓]		
14362						[日/王]	星	
14363						[月*弋]		
14364						[月*京]		
14365			0	233E8		[木*井]	楠	
14366			0	3BEE		[木*蜀]		
14367			1	6AD4		[木*厲]		
14368			0	233B6		[木/一]	杰	
14369						[片*手]		
14370						[片*复]		
14371						[牛*又]	收	
14372						[王*亢]	玩	
14373						[王*戊]		
14374						[且/八]		
14375						[囚*頁]		
14376						[央/月]		
14377						[央/目]		
14378			0	3696		[白/大]		
14379						[白/寸]		
14380						[目*欠]		
14381			1	77A6		[目*喜]		
14382						[目*聞]		
14383						[示*目]		
14384						[示*頁]		
14385						[禾*斥]		
14386			0	4151		[禾*妥]		
14387						[合/甘]		
14388						[回/又]		
14389			0	42A4		[米*覃]		
14390			0	25FC4		[糸*氐]		
14391						[羊*頁]		
14392			0	265B1		[耳*哉]		
14393			0	27243		[虫*允]		
14394						[虫*音]		
14395						[虫*廣]		
14396						[男*王]		
14397						[言*之]	詩	
14398						[言*節]		
14399						[言*夢]		
14400			1	8B89		[言*遺]		
14401						[車*韋]		
14402						[酉*章]		
14403						[里*音]		
14404						[林*又]		
14405						[虎/武]		
14406			1		9219	[金*ㄆ]		
14407						[金*客]		
14408			1	9D6D		[金*鳥]	鳹	
14409						[門@夕]		
14410						[雨/往]		
14411			0	291BF		[雨/雙]		
14412						[雨/梩]		
14413			0		23B9B	[青*毛]		
14414						[亮/貝]		
14415						[帝/衣]		
14416			0	27363		[苗/虫]	蠆	
14417						[骨*色]		
14418						[悸-禾]		
14419			0	4CD8		[鳥*我]	鵝	
14420						[黍*刀]		
14421						[辟/午]		
14422						[滿/王]		
14423			1	88BF		[褂-卜]		
14424			1	68E5		[樊-大]		
14425						[齒*羽]		
14426						[釐-厘]		
