001##T0001   22,長阿含經                                 ,【後秦 佛陀耶舍共竺佛念譯】
004##T0203   10,雜寶藏經                                 ,【元魏 吉迦夜共曇曜譯】
004##T0204    1,雜譬喻經                                 ,【後漢 支婁迦讖譯】
004##T0205    2,雜譬喻經                                 ,【失譯】
004##T0206    2,舊雜譬喻經                               ,【吳 康僧會譯】
004##T0207    1,雜譬喻經                                 ,【道略集】
004##T0208    2,眾經撰雜譬喻                             ,【姚秦 鳩摩羅什譯】
004##T0209    4,百喻經                                   ,【蕭齊 求那毘地譯】
004##T0210    2,法句經                                   ,【吳 維祇難等譯】
004##T0211    4,法句譬喻經                               ,【西晉 法炬共法立譯】
004##T0212   30,出曜經                                   ,【姚秦 竺佛念譯】
004##T0213    4,法集要頌經                               ,【宋 天息災譯】
004##T0214    1,猘狗經                                   ,【吳 支謙譯】
004##T0215    1,群牛譬經                                 ,【西晉 法炬譯】
004##T0216    1,大魚事經                                 ,【東晉 竺曇無蘭譯】
004##T0217    1,譬喻經                                   ,【唐 義淨譯】
004##T0218    1,灌頂王喻經                               ,【宋 施護等譯】
004##T0219    1,醫喻經                                   ,【宋 施護譯】
005##T0220a 200,大般若波羅蜜多經001-200卷                ,【唐 玄奘譯】
006##T0220b 200,大般若波羅蜜多經201-400卷                ,【唐 玄奘譯】
007##T0220c 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007##T0220d 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007##T0220e 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007##T0220f 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007##T0220g 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007##T0220h 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007##T0220i 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007##T0220j 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007##T0220k 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007##T0220l 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007##T0220m 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007##T0220n 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
007##T0220o 200,大般若波羅蜜多經401-600卷                ,【唐 玄奘譯】
008##T0221   20,放光般若經                                   ,【西晉 無羅叉譯】
008##T0222   10,光讚經                                       ,【西晉 竺法護譯】
008##T0223   27,摩訶般若波羅蜜經                             ,【後秦 鳩摩羅什譯】
008##T0224   10,道行般若經                                   ,【後漢 支婁迦讖譯】
008##T0225    6,大明度經                                     ,【吳 支謙譯】
008##T0226    5,摩訶般若鈔經                                 ,【前秦 曇摩蜱共竺佛念譯】
008##T0227   10,小品般若波羅蜜經                             ,【後秦 鳩摩羅什譯】
008##T0228   25,佛說佛母出生三法藏般若波羅蜜多經             ,【宋 施護譯】
008##T0229    3,佛說佛母寶德藏般若波羅蜜經                   ,【宋 法賢譯】
008##T0230    1,聖八千頌般若波羅蜜多一百八名真實圓義陀羅尼經 ,【宋 施護等譯】
008##T0231    7,勝天王般若波羅蜜經                           ,【陳 月婆首那譯】
008##T0232    2,文殊師利所說摩訶般若波羅蜜經                 ,【梁 曼陀羅仙譯】
008##T0233    1,文殊師利所說般若波羅蜜經                     ,【梁 僧伽娑羅譯】
008##T0234    2,佛說濡首菩薩無上清淨分衛經                   ,【宋 翔公譯】
008##T0235    1,金剛般若波羅蜜經                             ,【姚秦 鳩摩羅什譯】
008##T0236a   1,金剛般若波羅蜜經                             ,【元魏 菩提流支譯】
